seriesDescription,geoAreaName,timePeriod,value,sex,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Saint Lucia,2017,117,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Saint Vincent and the Grenadines,2017,68,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sao Tome and Principe,2017,130,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Saudi Arabia,2017,17,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Senegal,2017,315,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Serbia,2017,12,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Seychelles,2017,53,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sierra Leone,2017,1120,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Singapore,2017,8,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Slovakia,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Viet Nam,2017,43,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Slovenia,2017,7,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Somalia,2017,829,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,South Africa,2017,119,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Zimbabwe,2017,458,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Small island developing States (SIDS),2017,217.17469,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Spain,2017,4,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,South Sudan,2017,1150,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sudan,2017,295,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sub-Saharan Africa (inc. Sudan),2017,551.48044,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Suriname,2017,120,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Northern Africa (exc. Sudan),2017,61.11305,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Northern Africa and Western Asia,2017,86.90445,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eswatini,2017,437,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sweden,2017,4,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eastern and South-Eastern Asia,2017,70.73983,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Switzerland,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Syrian Arab Republic,2017,31,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Tajikistan,2017,17,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Thailand,2017,37,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Togo,2017,396,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Tonga,2017,52,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Trinidad and Tobago,2017,67,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,United Arab Emirates,2017,3,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Tunisia,2017,43,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Türkiye,2017,17,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Turkmenistan,2017,7,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Uganda,2017,375,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Ukraine,2017,19,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,North Macedonia,2017,7,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Egypt,2017,37,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,United Kingdom of Great Britain and Northern Ireland,2017,7,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,United Republic of Tanzania,2017,524,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,United States of America,2017,19,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Burkina Faso,2017,320,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Uruguay,2017,17,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Uzbekistan,2017,29,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Venezuela (Bolivarian Republic of),2017,125,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Samoa,2017,43,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Yemen,2017,164,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Zambia,2017,213,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
