seriesDescription,geoAreaName,timePeriod,value,sex,units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Brazil,2017,60,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Belize,2017,36,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Solomon Islands,2017,104,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Brunei Darussalam,2017,31,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Bulgaria,2017,10,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Myanmar,2017,250,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Burundi,2017,548,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Belarus,2017,2,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Cambodia,2017,160,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Cameroon,2017,529,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Canada,2017,10,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Cabo Verde,2017,58,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Caucasus and Central Asia,2017,24.21945,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Central African Republic,2017,829,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Asia,2017,113.09432,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Central Asia,2017,23.97198,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sri Lanka,2017,36,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Western Asia,2017,55.83573,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Chad,2017,1140,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Europe,2017,9.65098,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eastern Europe,2017,14.57434,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Chile,2017,13,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Northern Europe,2017,6.08317,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Western Europe,2017,6.73113,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,China,2017,29,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Colombia,2017,83,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Comoros,2017,273,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Congo,2017,378,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Democratic Republic of the Congo,2017,473,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Costa Rica,2017,27,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Croatia,2017,8,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Cuba,2017,36,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Cyprus,2017,6,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Least Developed Countries (LDCs),2017,433.4869,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Sub-Saharan Africa,2017,560.28121,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Czechia,2017,3,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Benin,2017,397,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Denmark,2017,4,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Dominican Republic,2017,95,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Ecuador,2017,59,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,El Salvador,2017,46,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Equatorial Guinea,2017,301,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Ethiopia,2017,401,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eritrea,2017,480,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Estonia,2017,9,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Fiji,2017,34,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Finland,2017,3,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,France,2017,8,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Djibouti,2017,248,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Gabon,2017,252,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Georgia,2017,25,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Gambia,2017,597,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,State of Palestine,2017,27,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Germany,2017,7,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Ghana,2017,308,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Kiribati,2017,92,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Greece,2017,3,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Grenada,2017,25,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Guatemala,2017,95,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Guinea,2017,576,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Guyana,2017,169,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Haiti,2017,480,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Honduras,2017,65,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Hungary,2017,12,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Iceland,2017,4,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,India,2017,145,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Indonesia,2017,177,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Iran (Islamic Republic of),2017,16,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Iraq,2017,79,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Ireland,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Israel,2017,3,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Italy,2017,2,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Côte d'Ivoire,2017,617,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Jamaica,2017,80,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Japan,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Kazakhstan,2017,10,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Jordan,2017,46,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Kenya,2017,342,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Democratic People's Republic of Korea,2017,89,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Republic of Korea,2017,11,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Kuwait,2017,12,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Kyrgyzstan,2017,60,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Lao People's Democratic Republic,2017,185,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Latin America and the Caribbean,2017,74.79487,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Lebanon,2017,29,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Lesotho,2017,544,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Latvia,2017,19,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Liberia,2017,661,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Landlocked developing countries (LLDCs),2017,424.80273,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Libya,2017,72,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Lithuania,2017,8,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Luxembourg,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Madagascar,2017,335,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Malawi,2017,349,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Malaysia,2017,29,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Maldives,2017,53,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Mali,2017,562,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Malta,2017,6,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Mauritania,2017,766,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Mauritius,2017,61,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Mexico,2017,33,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2017,59.29917,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Mongolia,2017,45,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Republic of Moldova,2017,19,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Montenegro,2017,6,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Morocco,2017,70,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Mozambique,2017,289,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Oman,2017,19,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Europe and Northern America,2017,12.59143,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2017,11.74699,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Developing regions,2017,240.2492,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Namibia,2017,195,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Eastern Asia (excluding Japan),2017,29.85614,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Nepal,2017,186,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Netherlands,2017,5,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Oceania (exc. Australia and New Zealand),2017,130.64286,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Vanuatu,2017,72,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,New Zealand,2017,9,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Nicaragua,2017,98,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Niger,2017,509,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Nigeria,2017,917,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Norway,2017,2,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Micronesia (Federated States of),2017,88,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Pakistan,2017,140,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Panama,2017,52,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Papua New Guinea,2017,145,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Paraguay,2017,84,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Peru,2017,88,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Philippines,2017,121,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Poland,2017,2,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Portugal,2017,8,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Guinea-Bissau,2017,667,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Timor-Leste,2017,142,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Puerto Rico,2017,21,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Qatar,2017,9,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Romania,2017,19,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Russian Federation,2017,17,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maternal mortality ratio,Rwanda,2017,248,FEMALE,PER_100000_LIVE_BIRTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
